symbol,timestamp,value
BCHUSDT,2023-12-09 03:34:59.999000+09:00,165707.11472
FTMUSDT,2023-12-09 03:34:59.999000+09:00,88041.7662
DOGEUSDT,2023-12-09 03:34:59.999000+09:00,490796.14822
OMGUSDT,2023-12-09 03:34:59.999000+09:00,10636.17423
STXUSDT,2023-12-09 03:34:59.999000+09:00,114498.5058
ZRXUSDT,2023-12-09 03:34:59.999000+09:00,205152.90632
DUSKUSDT,2023-12-09 03:34:59.999000+09:00,11113.97037
WAVESUSDT,2023-12-09 03:34:59.999000+09:00,11028.44308
OGNUSDT,2023-12-09 03:34:59.999000+09:00,7276.6438
USDCUSDT,2023-12-09 03:34:59.999000+09:00,7.99544
RLCUSDT,2023-12-09 03:34:59.999000+09:00,14466.83119
KAVAUSDT,2023-12-09 03:34:59.999000+09:00,19320.87359
VETUSDT,2023-12-09 03:34:59.999000+09:00,31702.78232
IOSTUSDT,2023-12-09 03:34:59.999000+09:00,23096.088265
MTLUSDT,2023-12-09 03:34:59.999000+09:00,13512.1506
CELRUSDT,2023-12-09 03:34:59.999000+09:00,6413.42636
RVNUSDT,2023-12-09 03:34:59.999000+09:00,14173.69242
ICXUSDT,2023-12-09 03:34:59.999000+09:00,5161.127
ARPAUSDT,2023-12-09 03:34:59.999000+09:00,10027.97149
QTUMUSDT,2023-12-09 03:34:59.999000+09:00,28557.8902
ONEUSDT,2023-12-09 03:34:59.999000+09:00,11722.0926
BATUSDT,2023-12-09 03:34:59.999000+09:00,5018.70451
ENJUSDT,2023-12-09 03:34:59.999000+09:00,8592.5852
IOTXUSDT,2023-12-09 03:34:59.999000+09:00,23313.74973
XLMUSDT,2023-12-09 03:34:59.999000+09:00,109389.08914
ZECUSDT,2023-12-09 03:34:59.999000+09:00,64401.9221
TOMOUSDT,2023-12-09 03:34:59.999000+09:00,0.0
DENTUSDT,2023-12-09 03:34:59.999000+09:00,87603.599699
DASHUSDT,2023-12-09 03:34:59.999000+09:00,23007.96937
THETAUSDT,2023-12-09 03:34:59.999000+09:00,18797.76345
XMRUSDT,2023-12-09 03:34:59.999000+09:00,126015.19767
ALGOUSDT,2023-12-09 03:34:59.999000+09:00,89941.00574
EOSUSDT,2023-12-09 03:34:59.999000+09:00,51348.6247
NEOUSDT,2023-12-09 03:34:59.999000+09:00,29673.70514
NKNUSDT,2023-12-09 03:34:59.999000+09:00,12462.49797
ANKRUSDT,2023-12-09 03:34:59.999000+09:00,9277.63823
ONTUSDT,2023-12-09 03:34:59.999000+09:00,6184.31878
RENUSDT,2023-12-09 03:39:59.999000+09:00,13605.47116
BNBUSDT,2023-12-09 03:39:59.999000+09:00,933304.0219
CHZUSDT,2023-12-09 03:39:59.999000+09:00,567595.25431
KEYUSDT,2023-12-09 03:39:59.999000+09:00,12241.988145
DOGEUSDT,2023-12-09 03:39:59.999000+09:00,279516.07934
ETHUSDT,2023-12-09 03:39:59.999000+09:00,2342142.65871
BTCUSDT,2023-12-09 03:39:59.999000+09:00,9592039.195
IOTAUSDT,2023-12-09 03:39:59.999000+09:00,78893.27297
LTCUSDT,2023-12-09 03:39:59.999000+09:00,508544.14765
ADAUSDT,2023-12-09 03:39:59.999000+09:00,2083186.7638
LINKUSDT,2023-12-09 03:39:59.999000+09:00,627641.82569
MATICUSDT,2023-12-09 03:39:59.999000+09:00,702635.5564
ALGOUSDT,2023-12-09 03:39:59.999000+09:00,134265.17929
ZILUSDT,2023-12-09 03:39:59.999000+09:00,401974.94102
XLMUSDT,2023-12-09 03:39:59.999000+09:00,98234.19622
FETUSDT,2023-12-09 03:39:59.999000+09:00,83870.0644
XRPUSDT,2023-12-09 03:39:59.999000+09:00,766807.36484
VETUSDT,2023-12-09 03:39:59.999000+09:00,29408.47834
ATOMUSDT,2023-12-09 03:39:59.999000+09:00,235431.5233
WAVESUSDT,2023-12-09 03:39:59.999000+09:00,15879.90936
OGNUSDT,2023-12-09 03:39:59.999000+09:00,11837.1314
HOTUSDT,2023-12-09 03:39:59.999000+09:00,106182.852985
RLCUSDT,2023-12-09 03:39:59.999000+09:00,8978.00946
BANDUSDT,2023-12-09 03:39:59.999000+09:00,15185.53347
KAVAUSDT,2023-12-09 03:39:59.999000+09:00,20760.32953
CELRUSDT,2023-12-09 03:39:59.999000+09:00,9428.24662
MTLUSDT,2023-12-09 03:39:59.999000+09:00,22497.8551
USDCUSDT,2023-12-09 03:39:59.999000+09:00,54.96865
STXUSDT,2023-12-09 03:39:59.999000+09:00,117612.3399
XTZUSDT,2023-12-09 03:39:59.999000+09:00,11270.7884
TRXUSDT,2023-12-09 03:39:59.999000+09:00,94467.10063
IOSTUSDT,2023-12-09 03:39:59.999000+09:00,44403.192477
RVNUSDT,2023-12-09 03:39:59.999000+09:00,5944.52926
ONGUSDT,2023-12-09 03:39:59.999000+09:00,3252.1741
QTUMUSDT,2023-12-09 03:39:59.999000+09:00,15156.7762
ZECUSDT,2023-12-09 03:39:59.999000+09:00,12140.41537
IOTXUSDT,2023-12-09 03:39:59.999000+09:00,21359.53064
ICXUSDT,2023-12-09 03:39:59.999000+09:00,10772.3259
ENJUSDT,2023-12-09 03:39:59.999000+09:00,20491.3405
BATUSDT,2023-12-09 03:39:59.999000+09:00,5118.35562
