symbol,timestamp,value
SOLUSDT,2023-12-07 06:39:59.999000+09:00,6161951.134
STMXUSDT,2023-12-07 06:39:59.999000+09:00,213553.17625
RUNEUSDT,2023-12-07 06:39:59.999000+09:00,543559.38
BLZUSDT,2023-12-07 06:39:59.999000+09:00,65976.01062
CHRUSDT,2023-12-07 06:39:59.999000+09:00,136543.5262
KSMUSDT,2023-12-07 06:39:59.999000+09:00,124029.974
YFIUSDT,2023-12-07 06:39:59.999000+09:00,400586.033
COTIUSDT,2023-12-07 06:39:59.999000+09:00,68459.93399
STORJUSDT,2023-12-07 06:39:59.999000+09:00,403012.6997
KNCUSDT,2023-12-07 06:39:59.999000+09:00,106417.5377
SUSHIUSDT,2023-12-07 06:39:59.999000+09:00,358068.9305
DOTUSDT,2023-12-07 06:39:59.999000+09:00,841519.0285
TRBUSDT,2023-12-07 06:39:59.999000+09:00,257066.201
STPTUSDT,2023-12-07 06:39:59.999000+09:00,17919.48605
NMRUSDT,2023-12-07 06:39:59.999000+09:00,34506.681
MBLUSDT,2023-12-07 06:39:59.999000+09:00,20918.087053
MKRUSDT,2023-12-07 06:39:59.999000+09:00,262419.2729
RSRUSDT,2023-12-07 06:39:59.999000+09:00,64781.627825
CRVUSDT,2023-12-07 06:39:59.999000+09:00,474062.5359
MANAUSDT,2023-12-07 06:39:59.999000+09:00,494421.4173
OCEANUSDT,2023-12-07 06:39:59.999000+09:00,182997.5828
BNTUSDT,2023-12-07 06:39:59.999000+09:00,65617.9243
DGBUSDT,2023-12-07 06:39:59.999000+09:00,31979.71264
SANDUSDT,2023-12-07 06:39:59.999000+09:00,313887.3244
COMPUSDT,2023-12-07 06:39:59.999000+09:00,255815.14447
ZENUSDT,2023-12-07 06:39:59.999000+09:00,57240.7119
SXPUSDT,2023-12-07 06:39:59.999000+09:00,173969.72847
CTSIUSDT,2023-12-07 06:39:59.999000+09:00,62631.5881
EGLDUSDT,2023-12-07 06:39:59.999000+09:00,328923.709
LRCUSDT,2023-12-07 06:39:59.999000+09:00,94534.9546
SNXUSDT,2023-12-07 06:39:59.999000+09:00,156366.1647
BALUSDT,2023-12-07 06:39:59.999000+09:00,43720.7302
ANTUSDT,2023-12-07 06:39:59.999000+09:00,119218.8863
UMAUSDT,2023-12-07 06:39:59.999000+09:00,61603.435
MDTUSDT,2023-12-07 06:39:59.999000+09:00,49989.98195
UMAUSDT,2023-12-07 06:44:59.999000+09:00,18689.431
LRCUSDT,2023-12-07 06:44:59.999000+09:00,47707.9486
RUNEUSDT,2023-12-07 06:44:59.999000+09:00,156695.965
DOTUSDT,2023-12-07 06:44:59.999000+09:00,394789.9904
MANAUSDT,2023-12-07 06:44:59.999000+09:00,95707.5196
CHRUSDT,2023-12-07 06:44:59.999000+09:00,71250.459
SANDUSDT,2023-12-07 06:44:59.999000+09:00,171986.8568
KNCUSDT,2023-12-07 06:44:59.999000+09:00,32221.3823
SOLUSDT,2023-12-07 06:44:59.999000+09:00,2644698.284
ANTUSDT,2023-12-07 06:44:59.999000+09:00,22448.5399
RSRUSDT,2023-12-07 06:44:59.999000+09:00,28618.456396
EGLDUSDT,2023-12-07 06:44:59.999000+09:00,132485.393
YFIUSDT,2023-12-07 06:44:59.999000+09:00,56425.085
TRBUSDT,2023-12-07 06:44:59.999000+09:00,121276.1848
MDTUSDT,2023-12-07 06:44:59.999000+09:00,36626.2055
SXPUSDT,2023-12-07 06:44:59.999000+09:00,185164.32707
STORJUSDT,2023-12-07 06:44:59.999000+09:00,130717.6217
DGBUSDT,2023-12-07 06:44:59.999000+09:00,8141.58255
ZENUSDT,2023-12-07 06:44:59.999000+09:00,31403.05
MKRUSDT,2023-12-07 06:44:59.999000+09:00,64656.4508
SNXUSDT,2023-12-07 06:44:59.999000+09:00,92985.4996
CRVUSDT,2023-12-07 06:44:59.999000+09:00,193630.1769
SUSHIUSDT,2023-12-07 06:44:59.999000+09:00,91924.5803
COMPUSDT,2023-12-07 06:44:59.999000+09:00,53380.50563
STMXUSDT,2023-12-07 06:44:59.999000+09:00,38014.11933
OCEANUSDT,2023-12-07 06:44:59.999000+09:00,53165.1659
NMRUSDT,2023-12-07 06:44:59.999000+09:00,11052.884
STPTUSDT,2023-12-07 06:44:59.999000+09:00,2642.2209
MBLUSDT,2023-12-07 06:44:59.999000+09:00,5152.569452
KSMUSDT,2023-12-07 06:44:59.999000+09:00,14423.932
BLZUSDT,2023-12-07 06:44:59.999000+09:00,17448.9941
BNTUSDT,2023-12-07 06:44:59.999000+09:00,23689.1576
CTSIUSDT,2023-12-07 06:44:59.999000+09:00,16909.4599
BALUSDT,2023-12-07 06:44:59.999000+09:00,7187.434
COTIUSDT,2023-12-07 06:44:59.999000+09:00,17437.20671
RUNEUSDT,2023-12-07 06:49:59.999000+09:00,369576.157
SANDUSDT,2023-12-07 06:49:59.999000+09:00,193079.248
CHRUSDT,2023-12-07 06:49:59.999000+09:00,36379.7574
SOLUSDT,2023-12-07 06:49:59.999000+09:00,2885595.935
TRBUSDT,2023-12-07 06:49:59.999000+09:00,111665.56
DOTUSDT,2023-12-07 06:49:59.999000+09:00,365806.9409
OCEANUSDT,2023-12-07 06:49:59.999000+09:00,44832.5109
SNXUSDT,2023-12-07 06:49:59.999000+09:00,135227.9769
SXPUSDT,2023-12-07 06:49:59.999000+09:00,33772.91738
LRCUSDT,2023-12-07 06:49:59.999000+09:00,31071.1019
CTSIUSDT,2023-12-07 06:49:59.999000+09:00,14379.373
MANAUSDT,2023-12-07 06:49:59.999000+09:00,58925.5722
BNTUSDT,2023-12-07 06:49:59.999000+09:00,20833.7341
SUSHIUSDT,2023-12-07 06:49:59.999000+09:00,129099.7748
YFIUSDT,2023-12-07 06:49:59.999000+09:00,78253.291
MBLUSDT,2023-12-07 06:49:59.999000+09:00,3809.499246
NMRUSDT,2023-12-07 06:49:59.999000+09:00,6433.34
STPTUSDT,2023-12-07 06:49:59.999000+09:00,3633.11305
KSMUSDT,2023-12-07 06:49:59.999000+09:00,34918.689
KNCUSDT,2023-12-07 06:49:59.999000+09:00,37564.1233
BLZUSDT,2023-12-07 06:49:59.999000+09:00,32378.60683
MKRUSDT,2023-12-07 06:49:59.999000+09:00,88991.9616
CRVUSDT,2023-12-07 06:49:59.999000+09:00,93632.7218
RSRUSDT,2023-12-07 06:49:59.999000+09:00,54653.983345
DGBUSDT,2023-12-07 06:49:59.999000+09:00,7180.67843
COMPUSDT,2023-12-07 06:49:59.999000+09:00,54604.60827
EGLDUSDT,2023-12-07 06:49:59.999000+09:00,53064.113
BALUSDT,2023-12-07 06:49:59.999000+09:00,6938.1818
STMXUSDT,2023-12-07 06:49:59.999000+09:00,20877.22959
ANTUSDT,2023-12-07 06:49:59.999000+09:00,17084.2122
COTIUSDT,2023-12-07 06:49:59.999000+09:00,22561.62283
ZENUSDT,2023-12-07 06:49:59.999000+09:00,23262.8502
UMAUSDT,2023-12-07 06:49:59.999000+09:00,17027.588
MDTUSDT,2023-12-07 06:49:59.999000+09:00,23456.81797
STORJUSDT,2023-12-07 06:49:59.999000+09:00,94104.1325
COMPUSDT,2023-12-07 06:54:59.999000+09:00,89921.04224
SUSHIUSDT,2023-12-07 06:54:59.999000+09:00,71744.0906
RUNEUSDT,2023-12-07 06:54:59.999000+09:00,106890.473
STORJUSDT,2023-12-07 06:54:59.999000+09:00,180862.8289
SOLUSDT,2023-12-07 06:54:59.999000+09:00,2459943.281
MANAUSDT,2023-12-07 06:54:59.999000+09:00,102633.2055
TRBUSDT,2023-12-07 06:54:59.999000+09:00,542726.9633
SANDUSDT,2023-12-07 06:54:59.999000+09:00,75990.4313
YFIUSDT,2023-12-07 06:54:59.999000+09:00,85080.356
DOTUSDT,2023-12-07 06:54:59.999000+09:00,569367.6491
EGLDUSDT,2023-12-07 06:54:59.999000+09:00,50832.064
UMAUSDT,2023-12-07 06:54:59.999000+09:00,10416.768
BNTUSDT,2023-12-07 06:54:59.999000+09:00,17586.8104
LRCUSDT,2023-12-07 06:54:59.999000+09:00,23711.212
MDTUSDT,2023-12-07 06:54:59.999000+09:00,33850.84158
MBLUSDT,2023-12-07 06:54:59.999000+09:00,26328.323659
SXPUSDT,2023-12-07 06:54:59.999000+09:00,28196.28521
ZENUSDT,2023-12-07 06:54:59.999000+09:00,10226.7995
STPTUSDT,2023-12-07 06:54:59.999000+09:00,3137.44833
KSMUSDT,2023-12-07 06:54:59.999000+09:00,16028.521
KNCUSDT,2023-12-07 06:54:59.999000+09:00,14027.1557
NMRUSDT,2023-12-07 06:54:59.999000+09:00,6167.68
BLZUSDT,2023-12-07 06:54:59.999000+09:00,12964.73134
MKRUSDT,2023-12-07 06:54:59.999000+09:00,130359.0471
OCEANUSDT,2023-12-07 06:54:59.999000+09:00,46195.3699
RSRUSDT,2023-12-07 06:54:59.999000+09:00,16149.628077
DGBUSDT,2023-12-07 06:54:59.999000+09:00,15986.21858
CRVUSDT,2023-12-07 06:54:59.999000+09:00,90839.2224
CTSIUSDT,2023-12-07 06:54:59.999000+09:00,29486.4322
ANTUSDT,2023-12-07 06:54:59.999000+09:00,13272.3632
COTIUSDT,2023-12-07 06:54:59.999000+09:00,11278.70079
CHRUSDT,2023-12-07 06:54:59.999000+09:00,50661.8383
STMXUSDT,2023-12-07 06:54:59.999000+09:00,10197.8545
SNXUSDT,2023-12-07 06:54:59.999000+09:00,93891.8674
BALUSDT,2023-12-07 06:54:59.999000+09:00,6933.1627
