symbol,timestamp,value
LINAUSDT,2023-12-07 06:44:59.999000+09:00,55172.86612
INJUSDT,2023-12-07 06:44:59.999000+09:00,524496.7484
TLMUSDT,2023-12-07 06:44:59.999000+09:00,26538.99033
CTKUSDT,2023-12-07 06:44:59.999000+09:00,18957.5141
BELUSDT,2023-12-07 06:44:59.999000+09:00,85733.4529
FILUSDT,2023-12-07 06:44:59.999000+09:00,397425.9382
UNIUSDT,2023-12-07 06:44:59.999000+09:00,243968.928
TRUUSDT,2023-12-07 06:44:59.999000+09:00,13702.28628
AXSUSDT,2023-12-07 06:44:59.999000+09:00,175946.609
1INCHUSDT,2023-12-07 06:44:59.999000+09:00,149903.133
CFXUSDT,2023-12-07 06:44:59.999000+09:00,310052.6209
AVAXUSDT,2023-12-07 06:44:59.999000+09:00,949345.849
BAKEUSDT,2023-12-07 06:44:59.999000+09:00,981787.8391
AAVEUSDT,2023-12-07 06:44:59.999000+09:00,46538.43
PERPUSDT,2023-12-07 06:44:59.999000+09:00,33537.52101
OXTUSDT,2023-12-07 06:44:59.999000+09:00,19003.1406
BADGERUSDT,2023-12-07 06:44:59.999000+09:00,77818.381
LITUSDT,2023-12-07 06:44:59.999000+09:00,27253.1652
NEARUSDT,2023-12-07 06:44:59.999000+09:00,252641.711
ALICEUSDT,2023-12-07 06:44:59.999000+09:00,32747.8722
XVSUSDT,2023-12-07 06:44:59.999000+09:00,783321.1584
CAKEUSDT,2023-12-07 06:44:59.999000+09:00,29456.1635
FLMUSDT,2023-12-07 06:44:59.999000+09:00,39106.1345
ROSEUSDT,2023-12-07 06:44:59.999000+09:00,70321.97138
SLPUSDT,2023-12-07 06:44:59.999000+09:00,41635.011769
XEMUSDT,2023-12-07 06:44:59.999000+09:00,39623.1964
SKLUSDT,2023-12-07 06:44:59.999000+09:00,30773.57847
GRTUSDT,2023-12-07 06:44:59.999000+09:00,369247.00922
ALPHAUSDT,2023-12-07 06:44:59.999000+09:00,18419.63685
CELOUSDT,2023-12-07 06:44:59.999000+09:00,55975.2808
UNFIUSDT,2023-12-07 06:44:59.999000+09:00,111243.9867
AUDIOUSDT,2023-12-07 06:44:59.999000+09:00,23730.2479
RIFUSDT,2023-12-07 06:44:59.999000+09:00,95068.67068
SFPUSDT,2023-12-07 06:44:59.999000+09:00,11523.0861
TWTUSDT,2023-12-07 06:44:59.999000+09:00,19819.6077
BTCSTUSDT,2023-12-07 06:44:59.999000+09:00,0.0
